pdbId	chainIds1	chainIds2	scopes1	scopes2
1GP2	DH	+	b.69.4.1;a.137.3.1	a.66.1.1:c.37.1.8
1GPW	F	D	c.23.16.1	c.1.2.1
1GRN	+	A	a.116.1.1	c.37.1.8
1GXD	A	A	b.40.3.1	a.20.1.2:b.66.1.1:d.92.1.11:g.14.1.2:g.14.1.2:g.14.1.2
1H1V	B	B	d.109.1.1:d.109.1.1:d.109.1.1	c.55.1.1:c.55.1.1
1H9D	A	A	b.54.1.1	b.2.5.6
1HCF	X	AM	b.1.1.4	g.17.1.3;g.17.1.3
1HE1	+	A	c.37.1.8:l.1.1.1	a.24.11.1:l.1.1.1
1HE8	+	A	c.37.1.8	a.118.1.6:b.7.1.1:d.15.1.5:d.144.1.4
1HIA	+	XY	g.3.15.1	b.47.1.2;0.0.0.0
1I2M	A	A	b.69.5.1	c.37.1.8
1I4D	+	AB	c.37.1.8	a.238.1.2;a.238.1.2
1I9R	HL	ABC	b.1.1.1:b.1.1.2;b.1.1.1:b.1.1.2	b.22.1.1;b.22.1.1;b.22.1.1
1IB1	A	AB	d.108.1.1	a.118.7.1;a.118.7.1
1IBR	A	A	a.118.1.1	c.37.1.8
1IJK	+	AB	c.62.1.1	d.169.1.1;d.169.1.1
1IQD	M	AB	b.18.1.2	b.1.1.1:b.1.1.2;b.1.1.1:b.1.1.2
1IRA	1	R	b.42.1.2	b.1.1.4:b.1.1.4:b.1.1.4
1J2J	A	A	a.7.8.1	c.37.1.8:l.1.1.1
1JIW	A	A	b.61.2.1	b.80.7.1:d.92.1.6
1JK9	A	A	b.1.8.1	b.1.8.1:d.58.17.1
1JMO	HL	A	0.0.0.0;b.47.1.2	e.1.1.1
1JPS	B	HL	b.1.2.1:b.1.2.1	b.1.1.1:b.1.1.2;b.1.1.1:b.1.1.2
1JTD	A	A	e.3.1.1;0.0.0.0	b.69.5.2
1JTG	B	A	d.98.1.1	e.3.1.1
1JWH	A	AB	d.144.1.7	g.41.4.1;g.41.4.1
1JZD	A	AB	b.1.17.1	c.47.1.9:d.17.3.1:l.1.1.1;c.47.1.9:d.17.3.1
1K4C	A	AB	f.14.1.1	b.1.1.1:b.1.1.2:l.1.1.1;b.1.1.1:b.1.1.2
1K5D	B	AB	c.10.1.2	c.37.1.8;b.55.1.3
1K74	AB	AB	a.123.1.1;0.0.0.0	a.123.1.1;0.0.0.0
1KAC	B	F	b.1.1.1	b.21.1.1
1KKL	+	ABC	d.94.1.1	c.91.1.2;c.91.1.2;c.91.1.2
1KLU	+	AB	b.40.2.2:d.15.6.1	b.1.1.2:d.19.1.1;b.1.1.2:d.19.1.1
1KTZ	A	+	g.7.1.3	g.17.1.2
1KXP	B	B	a.126.1.1:a.126.1.1:a.126.1.1	c.55.1.1:c.55.1.1
1KXQ	H	+	b.1.1.1	b.71.1.1:c.1.8.1
1LFD	A	A	d.15.1.5	c.37.1.8
1M10	B	+	c.10.2.7	c.62.1.1
1M27	A	AB	b.34.2.1;0.0.0.0	d.93.1.1;0.0.0.0
1MAH	+	B	g.7.1.1	c.69.1.1
1ML0	+	AB	d.9.1.1	b.116.1.1;0.0.0.0
1MLC	+	AB	d.2.1.2	b.1.1.1:b.1.1.2;b.1.1.1:b.1.1.2:l.1.1.1
1MQ8	A	A	c.62.1.1	b.1.1.3:b.1.1.4
1N2C	AB	ABCD	c.37.1.10;c.37.1.10	c.92.2.3;c.92.2.3;c.92.2.3;c.92.2.3
1NCA	+	HL	b.68.1.1	b.1.1.1:b.1.1.2;b.1.1.1:b.1.1.2
1NSN	+	HL	b.40.1.1	b.1.1.1:b.1.1.2;b.1.1.1:b.1.1.2
1NW9	A	A	g.52.1.1	c.17.1.1
1OC0	A	A	g.64.1.1	e.1.1.1
1OFU	A	AB	c.32.1.1:d.79.2.1	c.37.1.22;c.37.1.22
1OPH	A	A	b.47.1.2	e.1.1.1
1OYV	A	A	g.69.1.1:g.69.1.1	c.41.1.1
1OYV	A		g.69.1.1:g.69.1.1	c.41.1.1
1PPE	A	+	g.3.2.1	b.47.1.2
1PVH	A	A	a.26.1.1	b.1.2.1:b.1.2.1
1PXV	A	A	b.61.2.2:l.1.1.1	d.3.1.1:l.1.1.1
1QA9	A	+	b.1.1.1	b.1.1.1
1QFW	AB		g.17.1.4;g.17.1.4	b.1.1.1:l.1.1.1;b.1.1.1
1QFW	AB	IM	g.17.1.4;g.17.1.4	b.1.1.1:l.1.1.1;b.1.1.1
1R0R	I	E	g.68.1.1	c.41.1.1
1R6Q	A	X	d.45.1.2	a.174.1.1
1R8S	E	A	a.118.3.1	c.37.1.8
1RKE	A	A	a.24.9.1;0.0.0.0	a.24.9.1:a.24.9.1:l.1.1.1
1RLB	+	ABCD	b.60.1.1	b.3.4.1;b.3.4.1;b.3.4.1;b.3.4.1
1RV6	A	AB	b.1.1.4	g.17.1.1;g.17.1.1
1S1Q	A	A	d.15.1.1	d.20.1.2
1SBB	+	+	b.40.2.2:d.15.6.1	b.1.1.1:b.1.1.2
1SYX	A	A	d.76.1.1	c.47.1.8
1T6B	X	A	c.62.1.1	b.179.1.1:f.60.1.1
1TMQ	+	A	b.71.1.1:c.1.8.1	a.52.1.2
1UDI	B	+	d.17.5.1	c.18.1.1
1US7	A	A	a.205.1.1	d.122.1.1
1VFB	+	AB	d.2.1.2	b.1.1.1;b.1.1.1
1WDW	A	AB	c.1.2.4	c.79.1.1;c.79.1.1
1WEJ	+	HL	a.3.1.1	b.1.1.1:b.1.1.2;b.1.1.1:b.1.1.2
1WQ1	D	+	c.37.1.8	a.116.1.2
1XD3	A	A	d.15.1.1	d.3.1.6
1XQS	A	A	0.0.0.0	a.118.1.21
1XU1	A	ABD	g.24.1.2	b.22.1.1;b.22.1.1;b.22.1.1
1Y64	A	A	c.55.1.1:c.55.1.0	a.207.1.1
1YVB	I	A	d.17.1.2	d.3.1.1
1Z0K	A	A	a.2.19.1	c.37.1.8
1Z5Y	A	A	b.1.17.1	c.47.1.10
1ZHH	A	A	d.110.6.3	c.93.1.1
1ZHI	A	A	d.339.1.1	b.34.12.1
1ZLI	A	A	g.9.1.3:g.9.1.3	c.56.5.1
1ZM4	A	C	d.166.1.1	b.43.3.1:c.37.1.8:d.14.1.1:d.58.11.1:d.58.11.1
2A1A	A	A	a.60.14.0:b.40.4.0;0.0.0.0	d.144.1.0:l.1.1.1
2A5T	A	A	c.94.1.0	c.94.1.1
2A9K	X	A	d.166.1.1	c.37.1.8
2ABZ	A	A	g.30.1.1	c.56.5.1
2AJF	E	A	d.318.1.1	d.92.1.5
2AYO	A	A	d.15.1.1	d.3.1.9
2B42	A	X	b.29.1.11	b.50.1.2
2B4J	A	AB	a.48.4.1:l.1.1.1	c.55.3.2;c.55.3.2
2BTF	+	B	d.110.1.1	c.55.1.1:c.55.1.1
2C0L	A	A	d.106.1.1	a.118.8.1
2CFH	A	A	0.0.0.0	d.278.1.2
2FD6	A	HL	g.7.1.3:g.7.1.3:g.7.1.3	b.1.1.1:b.1.1.2;b.1.1.1:b.1.1.2
2FJU	A	X	c.37.1.8	a.39.1.7:b.7.1.1:b.55.1.1:c.1.18.1
2G77	A	A	c.37.1.8	a.69.2.1:a.69.2.1
2GAF	A	A	c.66.1.25;0.0.0.0	e.69.1.1
2GTP	A	A	a.91.1.0;0.0.0.0	a.66.1.1:c.37.1.8
2H7V	A	A	c.37.1.8	0.0.0.0
2HLE	P	A	b.6.1.5	b.18.1.4:l.1.1.1
2HMI	CD	AB	b.1.1.1:b.1.1.2;b.1.1.1:b.1.1.2	c.55.3.1:e.8.1.2;e.8.1.2
2HQS	A	A	d.79.7.1:l.1.1.1	b.68.4.1:c.51.2.1:l.1.1.1
2HRK	A	A	a.45.1.2	0.0.0.0
2I25	A	N	d.2.1.2	b.1.1.1:l.1.1.1
2I9B	A	A	g.3.11.1:g.14.1.1	g.7.1.3:g.7.1.3:g.7.1.3:l.1.1.1
2IDO	A	A	a.237.1.1	c.55.3.5
2J0T	A	A	b.40.3.1	d.92.1.11
2J7P	D	A	a.24.13.0:c.37.1.10	a.24.13.1:c.37.1.10
2JEL	+	HL	d.94.1.1	b.1.1.1:b.1.1.2;b.1.1.1:b.1.1.2
2MTA	A	JM	b.6.1.1	b.69.2.1;g.21.1.1
2NZ8	A	A	c.37.1.8	a.87.1.1:b.55.1.1
2O3B	A	A	d.221.1.1:l.1.1.1	d.4.1.2:l.1.1.1
2O8V	A	A	c.47.1.1	0.0.0.0
2OOB	A	A	d.15.1.1	0.0.0.0
2OOR	A	AB	c.31.1.4	c.2.1.4:c.23.12.2;c.2.1.4:c.23.12.2
2OT3	A	A	c.37.1.8	a.222.1.1
2OUL	A	A	b.1.26.1	d.3.1.1
2OZA	X	A	d.144.1.7	d.144.1.7
2PCC	+	+	a.3.1.1	a.93.1.1
2SIC	+	+	d.84.1.1	c.41.1.1
2SNI	I	A	d.40.1.1	c.41.1.1
2UUY	A	A	g.8.1.3	b.47.1.2
2VDB	A	A	a.8.1.2	a.126.1.0:a.126.1.0:a.126.1.0
2VIS	A	LH	b.19.1.2	b.1.1.1:b.1.1.2;b.1.1.1:b.1.1.2
2VXT	A	HL	b.42.1.2;0.0.0.0	0.0.0.0;b.1.1.2:b.1.1.0
2W9E	A	HL	d.6.1.1;0.0.0.0	0.0.0.0;b.1.1.2:b.1.1.0
2X9A	A	A	b.37.1.0;0.0.0.0	d.212.1.1:l.1.1.1
2YVJ	A	A	b.33.1.1;0.0.0.0	c.3.1.5:c.3.1.5:d.87.1.1:l.1.1.1
2Z0E	A	A	d.15.1.3	d.3.1.22
3A4S	A	A	d.15.1.0;0.0.0.0	d.20.1.1
3AAA	A	AB	d.211.1.1;0.0.0.0	e.43.1.1;e.43.1.2
3AAD	A	A	0.0.0.0;0.0.0.0	0.0.0.0
3AAD		A	0.0.0.0;0.0.0.0	0.0.0.0
3BIW	A	A	b.29.1.4;0.0.0.0	0.0.0.0
3BP8	A	AB	d.95.1.1	a.4.5.63:c.55.1.10:c.55.1.10;a.4.5.63:c.55.1.10:c.55.1.10
3BX7	A	A	b.1.1.1;0.0.0.0	b.60.1.1
3CPH	C	G	c.37.1.0	c.3.1.3:c.3.1.0:d.16.1.0
3D5S	A	A	a.7.17.1	a.102.4.4:l.1.1.1
3DAW	A	A	d.109.1.0;0.0.0.0	c.55.1.1:c.55.1.1
3EO1	AB	AB	g.17.1.2;g.17.1.2;0.0.0.0	b.1.1.1:b.1.1.2;0.0.0.0
3EOA	A	LH	c.62.1.1;0.0.0.0	b.1.1.2:b.1.1.0;0.0.0.0
3F1P	A	A	d.110.3.0;0.0.0.0	d.110.3.7:l.1.1.1
3FN1	A	A	c.111.1.2;0.0.0.0	d.20.1.0
3G6D	A	LH	a.26.1.2;0.0.0.0	b.1.1.1:b.1.1.2;b.1.1.1:b.1.1.2
3H11	A	A	c.17.1.1;0.0.0.0	c.17.1.1;0.0.0.0
3H2V	A	A	d.58.7.1:l.1.1.1;0.0.0.0	a.24.9.1
3HI6	A	HL	c.62.1.1;0.0.0.0	0.0.0.0;b.1.1.2:b.1.1.0
3HMX	AB	LH	0.0.0.0;a.26.1.1;0.0.0.0	b.1.1.2:b.1.1.0;0.0.0.0
3K75	A	A	b.18.1.8;0.0.0.0	a.60.12.1:d.218.1.2:l.1.1.1
3L5W	A	LH	a.26.1.2;0.0.0.0	b.1.1.2:b.1.1.0;0.0.0.0
3L89	A	ABC	0.0.0.0;0.0.0.0	0.0.0.0;0.0.0.0;0.0.0.0
3LVK	A	AB	d.68.3.3;0.0.0.0	c.67.1.3;0.0.0.0
3MXW	A	LH	d.65.1.2;0.0.0.0	b.1.1.2:b.1.1.0;0.0.0.0
3P57	A	AB	0.0.0.0;0.0.0.0	0.0.0.0;0.0.0.0
3PC8	A	A	c.15.1.2:l.1.1.1;0.0.0.0	c.15.1.1
3R9A	A	AB	a.118.8.1;0.0.0.0	c.67.1.3;c.67.1.3
3RVW	A	CD	0.0.0.0;0.0.0.0	b.1.1.2:b.1.1.0:l.1.1.1;0.0.0.0
3S9D	A	A	a.26.1.3;0.0.0.0	b.1.2.1:b.1.2.1
3SGQ	A	E	g.68.1.1	b.47.1.1
3SZK	A	AB	b.1.28.1;0.0.0.0	a.1.1.2;a.1.1.2
3V6Z	F	AB	0.0.0.0;0.0.0.0	0.0.0.0;0.0.0.0
3VLB	A	A	b.29.1.0;0.0.0.0	b.50.1.0
4CPA	A	A	g.3.2.1	c.56.5.1
4DN4	A	LH	0.0.0.0;0.0.0.0	0.0.0.0;0.0.0.0
4FQI	ABCDEF	HL	b.19.1.2:l.1.1.1;h.3.1.1:l.1.1.1;0.0.0.0;0.0.0.0;0.0.0.0;0.0.0.0;0.0.0.0	0.0.0.0;b.1.1.2:b.1.1.0
4FZA	A	A	d.144.1.0:l.1.1.1;0.0.0.0	a.118.1.15:l.1.1.1
4G6J	A	HL	0.0.0.0;0.0.0.0	0.0.0.0;0.0.0.0
4G6M	A	HL	0.0.0.0;0.0.0.0	0.0.0.0;0.0.0.0
4GAM	A	ABCDEF	d.137.1.1;0.0.0.0	a.25.1.2;a.25.1.2;a.25.1.2;a.25.1.2;a.23.3.1;a.23.3.1
4GXU	HIJKLM	HL	0.0.0.0;0.0.0.0;0.0.0.0;0.0.0.0;0.0.0.0;0.0.0.0;0.0.0.0	0.0.0.0;0.0.0.0
4H03	A	A	c.55.1.1:c.55.1.1;0.0.0.0	d.166.1.1:d.166.1.1:l.1.1.1
4HX3	A	AB	d.92.1.1:l.1.1.1;0.0.0.0	d.84.1.0;d.84.1.0
4IZ7	A	A	0.0.0.0;0.0.0.0	d.144.1.7
4JCV	A	ABCD	0.0.0.0;0.0.0.0	0.0.0.0;0.0.0.0;0.0.0.0;0.0.0.0
4LW4	A	AB	d.224.1.1;0.0.0.0	c.67.1.0;c.67.1.0
4M76	A	A	c.62.1.1;0.0.0.0	a.102.4.4:l.1.1.1
7CEI	B	D	d.4.1.1	a.28.2.1
4kvg	B	A	0.0.0.0	c.37.1.8
6bmt	A	B	0.0.0.0	0.0.0.0
4zqu	A	B	0.0.0.0	d.351.1.0
3tkl	B	A	0.0.0.0	c.37.1.8
5ihu	L	H	b.1.1.0:b.1.1.0	0.0.0.0
5c6g	B	A	0.0.0.0	0.0.0.0
2ozn	A	B	b.2.2.2	0.0.0.0
2bec	B	A	0.0.0.0	a.39.1.0
5da0	B	A	0.0.0.0	0.0.0.0
2psm	A	F	a.26.1.2	g.18.1.1
4fm4	B	A	b.34.4.0	d.149.1.0
3sfv	B	A	0.0.0.0	c.37.1.8
4uyq	A	B	b.2.2.0	a.139.1.0
5uxx	B	A	0.0.0.0	0.0.0.0
5di3	B	A	0.0.0.0	c.37.1.0
5nvk	A	B	d.86.1.0	0.0.0.0
2qn5	B	T	g.3.13.0:g.3.13.0	b.47.1.2
1yke	A	B	a.252.1.2	a.252.1.1
5gxb	A	B	0.0.0.0	0.0.0.0
3vuy	A	D	d.15.1.1	0.0.0.0
3p92	A	E	b.47.1.2	g.8.1.1
4euk	A	B	c.23.1.0	a.24.10.0
4n4r	A	B	0.0.0.0	0.0.0.0
4yii	A	U	0.0.0.0	d.20.1.0
4lgr	B	A	b.1.1.1	d.165.1.1
4xhu	C	D	a.41.1.0:d.166.1.0	0.0.0.0
4ds7	F	A	0.0.0.0	a.39.1.5
3gkl	C	A	a.28.2.1	d.4.1.1
4ekx	B	A	b.42.1.2	0.0.0.0
5udh	B	D	0.0.0.0	0.0.0.0
6cwx	A	B	0.0.0.0	0.0.0.0
5vj7	A	B	0.0.0.0	0.0.0.0
4qts	C	A	0.0.0.0	0.0.0.0
2y8s	B	A	0.0.0.0	0.0.0.0
3cbk	B	A	b.1.26.1	0.0.0.0
4r1d	B	A	0.0.0.0	0.0.0.0
3qb4	A	B	g.17.1.0	g.7.1.3
5e5r	A	B	b.74.1.0	b.1.1.0:b.1.1.0
1tgs	Z	I	b.47.1.2	g.68.1.1
4q35	B	A	0.0.0.0	0.0.0.0
4fjv	B	A	d.15.1.1	d.3.1.11
4jqu	A	B	d.20.1.1	0.0.0.0
4jeg	A	B	d.93.1.0	0.0.0.0
5cm2	M	Z	0.0.0.0	0.0.0.0
3zef	B	A	c.52.1.0:c.55.3.0:c.97.3.0:e.8.1.8	a.118.29.1:b.182.1.1
3l9j	C	T	d.169.1.1	b.22.1.1
3n1p	C	B	b.1.2.1	d.65.1.2
5lx9	H	A	b.1.1.0:b.1.1.0	0.0.0.0
3u43	A	B	a.28.2.1	d.4.1.1
3kyi	A	B	0.0.0.0	c.23.1.0
5c1m	B	A	b.1.1.1	0.0.0.0
4aq1	B	A	b.1.1.1	0.0.0.0
2i25	N	L	b.1.1.1	d.2.1.2
3kow	C	G	0.0.0.0	0.0.0.0
4gla	D	A	0.0.0.0	d.2.1.2
4byf	C	D	0.0.0.0	a.39.1.5
3k6g	D	A	0.0.0.0	0.0.0.0
3gc3	B	A	a.118.1.4:b.69.6.1	b.1.18.11:b.1.18.11
3bx1	C	A	b.42.4.1	c.41.1.1
3l82	A	B	0.0.0.0	0.0.0.0
4hdi	L	H	b.1.1.1:b.1.1.2	0.0.0.0
4boz	B	A	d.15.1.1	0.0.0.0
3k1i	D	A	0.0.0.0	a.24.19.0
5e5u	A	B	b.74.1.0	b.1.1.0:b.1.1.0
2z5b	B	A	0.0.0.0	0.0.0.0
3qml	A	C	c.55.1.0:c.55.1.0	0.0.0.0
3b0a	B	A	0.0.0.0	d.15.1.1:d.15.1.1
2wfx	B	A	0.0.0.0	0.0.0.0
4q95	B	A	0.0.0.0	0.0.0.0
1oph	B	A	b.47.1.2	e.1.1.1
3oj2	C	A	b.1.1.0:b.1.1.4	b.42.1.1
4fzv	A	B	0.0.0.0	0.0.0.0
6c7y	B	A	0.0.0.0	d.144.1.0
4c5i	A	C	0.0.0.0	0.0.0.0
2g2r	H	L	0.0.0.0	b.1.1.0:b.1.1.2
1fma	D	E	d.15.3.1	d.41.5.1
5t8f	A	B	0.0.0.0	h.4.21.1
1dzb	X	A	d.2.1.2	b.1.1.1:b.1.1.1
2dfk	B	A	c.37.1.8	a.87.1.1:b.55.1.1
4iz5	A	G	d.144.1.7	0.0.0.0
4y0z	I	E	0.0.0.0	0.0.0.0
2qkw	A	B	a.8.8.1	0.0.0.0
5eg3	B	A	d.93.1.1	d.144.1.7
4qzv	B	A	0.0.0.0	b.70.3.1:c.69.1.0
2gtp	A	D	a.66.1.1:c.37.1.8	a.91.1.0
2h47	F	G	0.0.0.0	g.21.1.0
4p2a	B	A	b.36.1.0	0.0.0.0
4eiz	A	D	c.71.1.1	b.1.1.1
1kxv	C	A	b.1.1.1	b.71.1.1:c.1.8.1
1blx	B	A	d.211.1.1	d.144.1.7
3v96	B	A	d.92.1.11	b.40.3.1
5m95	B	A	0.0.0.0	0.0.0.0
5jo2	B	A	0.0.0.0	0.0.0.0
3mml	B	A	0.0.0.0	0.0.0.0
3bik	A	B	0.0.0.0	b.1.1.1
4oic	B	A	0.0.0.0	0.0.0.0
5m52	A	C	0.0.0.0	0.0.0.0
1jql	B	A	c.37.1.20	d.131.1.1:d.131.1.1:d.131.1.1
4dge	A	C	b.62.1.1	a.73.1.1
1ewy	C	A	d.15.4.1	b.43.4.2:c.25.1.1
3rdz	C	A	d.40.1.0	b.47.1.2
4je4	B	A	0.0.0.0	d.93.1.0
1bml	A	C	b.47.1.2	d.15.5.1:d.15.5.1:d.15.5.1
3c6p	B	A	0.0.0.0	a.157.1.0:d.42.1.0
2gww	A	B	a.24.9.1:a.24.9.1	0.0.0.0
5szk	B	A	c.37.1.8	0.0.0.0
2bku	D	C	a.118.1.0	c.37.1.8
4uf7	B	C	0.0.0.0	0.0.0.0
4c7o	C	D	0.0.0.0	a.24.13.0:c.37.1.10
3b0b	A	D	0.0.0.0	0.0.0.0
4ldl	A	B	0.0.0.0	b.1.1.1
2rex	A	B	d.15.1.10	c.37.1.8
5v5i	A	B	0.0.0.0	0.0.0.0
3wcy	A	I	0.0.0.0	a.26.1.3
2hdi	A	B	0.0.0.0	0.0.0.0
1efp	B	A	c.26.2.3	c.26.2.3:c.31.1.2
5mn2	A	D	0.0.0.0	0.0.0.0
2fdb	M	P	b.42.1.1	b.1.1.4:b.1.1.4
1zlh	B	A	g.9.1.3:g.9.1.3	c.56.5.1
1zm2	A	B	b.43.3.0:c.37.1.8:d.14.1.0:d.58.11.0:d.58.11.0	d.166.1.1
4nkg	A	B	0.0.0.0	a.2.6.1
1kjy	A	B	a.66.1.1:c.37.1.8	0.0.0.0
3byt	A	B	b.1.1.1	b.40.2.2:d.15.6.1
6fae	A	B	0.0.0.0	c.37.1.8
5e95	A	B	c.37.1.8	b.1.2.0
5mu7	A	B	0.0.0.0	0.0.0.0
3av0	B	A	0.0.0.0	0.0.0.0
2v8s	V	E	0.0.0.0	0.0.0.0
1vg9	A	B	c.3.1.3:d.16.1.6	c.37.1.8
4afz	C	A	0.0.0.0	0.0.0.0
4uaf	B	E	a.118.1.1	d.361.1.1
1mk2	A	B	b.26.1.1	j.64.1.1
3oj3	I	A	0.0.0.0	d.15.1.1
3qht	C	A	b.1.2.0	d.15.1.1
4onh	B	A	b.1.1.0:b.1.1.0	b.1.1.0:b.1.1.2
6fuz	A	N	0.0.0.0	0.0.0.0
2iq9	L	H	b.1.1.1:b.1.1.2	0.0.0.0
3fn1	B	A	d.20.1.0	c.111.1.2
4d0g	C	A	0.0.0.0	c.37.1.8
4xlw	B	A	0.0.0.0	0.0.0.0
4dh2	B	A	a.139.1.0	b.2.2.0
1viw	B	A	b.29.1.1	b.71.1.1:c.1.8.1
3lqc	B	A	0.0.0.0	b.18.1.8
2ztt	A	B	0.0.0.0	0.0.0.0
1b6c	B	A	d.144.1.7	d.26.1.1
2wel	D	A	a.39.1.5	d.144.1.0
1g4u	R	S	c.37.1.8	a.24.11.1:c.45.1.2
4n6r	B	A	0.0.0.0	0.0.0.0
5txk	B	A	d.15.1.1	0.0.0.0
4gn3	B	A	0.0.0.0	d.2.1.2
1seq	H	L	0.0.0.0	b.1.1.0:b.1.1.2
3dpl	R	C	g.44.1.1	0.0.0.0
4wfc	B	A	0.0.0.0	0.0.0.0
1zt2	B	A	a.262.1.1	d.264.1.1
5l0w	B	A	0.0.0.0	0.0.0.0
4qhk	M	N	0.0.0.0	0.0.0.0
1dfj	E	I	d.5.1.1	c.10.1.1
1ijf	B	A	d.58.12.1	b.43.3.1:b.44.1.1:c.37.1.8
3o65	A	B	0.0.0.0	d.15.1.1
2jjt	A	C	b.1.1.0	0.0.0.0
2fju	B	A	a.39.1.7:b.55.1.1:b.7.1.1:c.1.18.1	c.37.1.8
5h5j	A	B	b.43.4.0:c.25.1.0	d.15.4.1
5w8t	A	B	d.15.1.0:d.3.1.23	d.15.1.0
1wx5	A	B	a.86.1.3	d.386.1.1
2guz	A	B	0.0.0.0	0.0.0.0
1t6v	L	N	d.2.1.2	b.1.1.1
6bmk	B	A	b.1.1.2	b.1.1.0:d.19.1.0
5oqt	A	C	0.0.0.0	0.0.0.0
5ty4	A	B	g.7.1.3	0.0.0.0
4yyp	B	A	0.0.0.0	0.0.0.0
5kyy	B	A	0.0.0.0	0.0.0.0
1xd3	B	A	d.15.1.1	d.3.1.6
2w07	A	B	b.1.11.1:b.7.2.1	0.0.0.0
1nu9	A	C	b.47.1.2	a.8.6.1:a.8.6.1
3pcr	B	A	c.37.1.8	0.0.0.0
3h6s	E	A	0.0.0.0	d.3.1.1
5ubo	A	S	c.55.1.1:c.55.1.1	d.109.1.1
4mm3	A	B	d.15.1.1	d.15.1.0:d.3.1.23
2c5l	A	C	c.37.1.8	d.15.1.5
2jb5	L	H	b.1.1.0:b.1.1.2	b.1.1.1:b.1.1.2
2q5d	A	C	a.118.1.1	g.88.2.1
1e6e	B	A	d.15.4.1	c.3.1.1:c.4.1.1
1t44	A	G	c.55.1.1:c.55.1.1	d.109.1.1
4a69	C	A	a.4.1.3	0.0.0.0
3rpg	C	B	0.0.0.0	0.0.0.0
5mtm	B	A	0.0.0.0	0.0.0.0
4orb	A	B	d.159.1.3	a.39.1.5
